term,reading,english,description,category
変動相場制,へんどうそうばせい,,ある通貨と別の通貨の為替レートを固定せず市場原理に委ねる制度。,相場
外資,がいし,,外国からの資本金。,経済
夜勤,やきん,night shift; nightshift,夜間の勤務。また、それをすること。,労働
大恐慌,だいきょうこう; だいきょーこー,Great Depression,1929年10月24日のニューヨーク株式市場の暴落をきっかけとして発生した世界的な経済恐慌。,経済
大証,だいしょう; だいしょー,,大阪証券取引所の略。,経済
好景気,こうけいき; こーけーき,,「好況」と同じ。,経済
好況,こうきょう; こーきょー,,経済活動が活発で、生産や消費が伸びている状況。,経済
始業,しぎょう; しぎょー,,その日の仕事を始めること。,労働
安定成長,あんていせいちょう,,極端なインフレーションやデフレーション、貿易黒字・赤字を起こさないで堅実に経済が成長すること。日本では1973年から1986年ごろがこれに該当したとされる。,経済
安定資産,あんていしさん,,経済の状況によらず価値が安定した資産。,経済
官銭,かんせん,,政府発行の銭貨。,通貨
定食屋,ていしょくや,,定食を提供する食堂。,飲食店
実働,じつどう,,実際に仕事につき働くこと。,労働
実質国内総生産,じっしつこくないそうせいさん,,物価の変動を補正した国内総生産。,経済
実質経済成長率,じっしつけいざいせいちょうりつ,,物価の変動を補正した経済成長率。,経済
家具屋,かぐや,,家具を作って売る店。,店舗
家具店,かぐてん,,家具を販売する店。,店舗
寿退社,ことぶきたいしゃ,,主に女性社員がめでたい事、特に結婚を機会に退社・退職すること。,労働
小口現金,,,少額経費の支払いのために、別口で管理されている現金を処理する勘定。小口現金係と呼ばれる各部署・課の担当者に事前に渡しておき、一定期間経過後に消費した分だけ補給する（定額資金前渡法）。流動資産に分類される。,会計; 簿記
小売店,こうりてん,,商品を仕入れ、消費者に販売する店舗。,店舗
就業,しゅうぎょう; しゅうぎょー,,業務に従事すること。,労働
市場,しじょう; しじょー,market; town market; marketplace; fair; bazaar,財貨やサービスが取引されることを抽象的に捉えた概念。,会計
市場原理,しじょうげんり,,需要に比べて供給が少ないと価格が上がり、その逆で価格が下がるという原理。,経済
市況,しきょう; しきょー,,市場の景気。,経済
布団屋,ふとんや,,布団を作って売る店。,店舗
帳簿,ちょうぼ; ちょーぼ,account; book,金銭や物品などの出納、収支などを記しておく帳面。総勘定元帳など。,会計
常傭,じょうよう; じょーよー,,人を期限を定めずに続けて雇っておくこと。,労働
年休,ねんきゅう,paid; holiday; vacation,年次有給休暇の略。,労働
年商,ねんしょう; ねんしょー,,一年間の総売上高。,会計
年次有給休暇,ねんじゆうきゅうきゅうか,paid; holiday; vacation,労働基準法に基づき1年ごとに労働者に与えられる有給休暇。年休。,労働
店舗,てんぽ,shop; store; shopping center; boutique,商店の用に供する建物。みせ。,店舗
建具屋,たてぐや,cabinetmaker; joiner,建具を作って売る店。,店舗
建設国債,けんせつこくさい,,国が道路、ダムなどの社会資本整備の財源を確保するために発行する国債。,会計
弁当屋,べんとうや,,弁当を作って売る店。,店舗
引当金,,allowance; reserve,簿記の上で、将来の特定の費用または損失に備えると共に期間損益計算を適正に行うために、負債又は資産の評価勘定として計上される勘定科目。,簿記
強制保険,きょうせいほけん,,法令に基づき、一定の範囲の人達に加入することが義務づけられている保険。雇用保険、自賠責保険など。,保険
強制労働,きょうせいろうどう,forced labour; forced labor,労働者の意に反して強制的にさせる労働。,労働
強制反対売買,きょうせいはんたいばいばい,,信用取引において、取引者が追証を拒否した場合又は期日までに預託できない場合に、証券会社や商品取引会社が強制的に反対売買を執行、建玉をてじまって損失を確定させること。,相場
御田屋,おでんや,,御田を提供する店、人。,飲食店
悪税,あくぜい,,公平ではなく目的にそぐわない税。,経済
