term,reading,english,description,category
次元,じげん,dimension,ディメンション。,物理学
正弦曲線,せいげんきょくせん,,正弦関数をグラフで表した曲線。サインカーブ。,物理学
正準方程式,せいじゅんほうていしき; せーじゅんほーてーしき,,ハミルトンによる運動方程式̇p_i=-(∂H)/(∂p_i)\̇q_i=(∂H)/(∂p_i)のこと。ラグランジュ方程式をルジャンドル変換して得る。ハミルトン方程式。,解析力学
殻,から; コク; カク,,（カク）電子殻の略称。,物理学
比,このごろ; ころ; たぐい; ヒ; ビ,,系の質量の大きさによって変わる性質がある物理量の名称に付けて、単位質量当たりの物理量であること示す。,熱力学
比容,ひよう; ひよー,,単位質量の物体が占める容積。,物理学
比熱,ひねつ,,単位質量の物質の温度を単位温度だけ上げるのに必要な熱量。国際単位系では J/(kg·K)。単位質量当たりの熱容量。比熱容量。,熱力学
比誘電率,ひゆうでんりつ,,真空の誘電率に対する誘電体の誘電率の比。εᵣやκと表す。,電磁気学
比重,ひじゅう,specific gravity,ある物質の密度と摂氏4度の水の密度との比。,物理学
気体,きたい,gas,物質の三態の一つ。物質を構成する分子間の距離が大きく、他の分子の影響をほとんど受けずに自由に動ける状態。その体積、圧力及び温度に関してボイル＝シャルルの法則が成立する。圧力を加え体積を小さくしたり、温度を下げることにより、液体まれに固体に態を変える。,物理学
気化熱,きかねつ,,液体が気化する際に周囲から奪う熱。,熱力学
気圧,きあつ,air pressure; atmospheric pressure; atmosphere,気体の圧力。,物理学
気相,きそう; きそー,,物質が気体の状態となっていること。,物理化学
水力学,,hydrodynamics,水の挙動を扱う力学。,力学
水量,すいりょう,,水の量の多寡、及びその分量。,物理学
永久機関,えいきゅうきかん,perpetual motion,外部から何もエネルギーを供給することなく仕事を行い続ける装置。,物理学
求心力,きゅうしんりょく,,向心力。,力学
汎函数,はんかんすう,functional,広義には函数空間を始域とする写像。狭義には函数空間から体への写像。広義汎函数に含まれるが狭義汎函数に含まれない写像は作用素若しくは変換と呼ばれる。,物理学
汎関数,はんかんすう,,汎函数の異表記。,物理学
沸騰,ふっとう,boil; seethe,気化が、液体の表面からだけでなく内部からも激しく発生すること。,物理化学
波動,はどう; はどー,,空間のある点で生じた振動が次々に周囲に伝わっていく現象。,物理学
波数,はすう,,単位長さ当たりの波の数。波長の逆数。,物理学
活性化エネルギー,,activation energy,化学反応を起こさせる際、反応物に必要なエネルギー。,物理学
流体,りゅうたい,fluid,液体と気体の総称。,物理学
流線,りゅうせん,streamline,領域 boldsymbol D∈ℝⁿ上のベクトル場 boldsymbol X: boldsymbol D→ℝⁿに対して微分方程式(d boldsymbol r)/(dt)= boldsymbol X( boldsymbol r) ( boldsymbol r∈ boldsymbol D)で与えられる曲線 boldsymbol r= boldsymbol r(t)のこと。; ある瞬間における流れの方向と一致するような曲線。語義1を物理的に解釈したもの。,ベクトル解析; 物理学
浮力,ふりょく,buoyancy,流体中にある物体に働く上向きの力。,物理学
浮心,ふしん,,液体に浮かぶ物体に浮力が作用する点。,力学
液体,えきたい,liquid,物質の三態の一つ。物質を構成する分子間の距離は小さいが、分子間の結合力が弱いため、他の分子に対する位置が容易に変わりうる状態。気体と異なり、圧力に対して体積をほとんど変えない。一般に外部からの圧力を下げたり熱を加えることにより気体に、逆に熱を奪うことにより固体に態を変える。リキッド。,物理学
液化,えきか,liquefaction,固体や気体が液体に変化すること。,物理化学
液相,えきそう; えきそー,,物体が液体の状態にある相。,物理化学
減速材,げんそくざい,,原子炉で核分裂により放出される中性子を減速させるために使う物質。軽水、重水、炭素など。,物理学
温度,おんど,temperature,熱さ・冷たさの度合で、熱いほど高い値を示す。熱力学においては、熱平衡の状態を決める尺度である。高温ほど、その物質中の原子の平均運動エネルギーが大きい。,物理学
