term,reading,english,description,category
解職請求,かいしょくせいきゅう,,地方自治法などに基づく住民の直接請求の一つ。自治体の有権者が議会の議長、議員、首長、委員会の委員などの解職を請求すること。リコール。,政治
諮問機関,しもんきかん,,専門家による答申を求めるための機関。,政治
議会,ぎかい,assembly,選挙などによって選ばれた議員によって構成され、法律などを制定する会議、機関。立法府。日本においては国会、都道府県議会、市町村議会などがこれにあたる。,政治
護憲派,ごけんは,,日本国憲法の改正に反対する勢力。,政治
貴族院,きぞくいん,,大日本帝国憲法の下で天皇が任命する議員から構成された議院。,政治
超大国,ちょうたいこく,,世界の政治や経済に圧倒的な影響を及ぼす国。,地政学
軍事同盟,ぐんじどうめい,,ある国に武力による攻撃があった場合、別の国が攻撃を受けた国の側に立って反撃を行うことを約束した同盟。,政治
軍事境界線,ぐんじきょうかいせん,,戦争の停戦時に定められた実効支配の境界線。インドシナ戦争からベトナム戦争終結までの南北ベトナム・朝鮮戦争停戦後の朝鮮半島に存在。,政治
軍事政権,ぐんじせいけん,,軍または軍人が政治権力を掌握し支配する政権。軍政。,政治
近東,きんとう,,アジアの最西部の地中海沿岸地方、現在のトルコ、シリア、レバノン、ヨルダン、イスラエル、パレスチナ、エジプトにあたる地域をいう。バルカン半島、イラクなどを含めることもある。,地政学
通常国会,つうじょうこっかい,,毎年1月に召集される国会。,政治
通常選挙,つうじょうせんきょ,,3年ごとに参議院議員の半数を改選する選挙。,選挙
連立内閣,れんりつないかく,,一つの政党のみでは議会で過半数を占められない場合などに、二つ以上の政党が協力して組織した内閣。,政治
連立政権,れんりつせいけん,,複数の政党、グループによって成立する政権。,政治
連邦制,れんぽうせい,,複数の州や小さな国が纏って、国を構成する体制。,政治
連邦議会,れんぽうぎかい,,連邦制における国会。,政治
進歩主義,しんぽしゅぎ,progressivism,伝統や慣習にとらわれず、新しい制度や社会改革を推進する考え方、イデオロギー。,政治
運動量,うんどうりょう,momentum,選挙運動を行った量。,政治
運河,うんが,waterway; canal,船舶の航行などのための人工の川。,地政学
道政,どうせい; どーせー,,北海道の政治、行政。,政治
道議会,どうぎかい,,地方公共団体の北海道における議決機関。; 道（日本以外）における議決機関。,政治
遠東,えんとう,,極東。,地政学
選挙,せんきょ,election,投票によって役職に就く者を選ぶこと。,選挙
選挙人,せんきょにん,,選挙で投票する人。,選挙
選挙区,せんきょく,,選挙のために設けられる、地理的な区分。,選挙
選挙戦,せんきょせん,,選挙における候補同士の争い。,選挙
選挙管理委員会,せんきょかんりいいんかい,,選挙を管理する行政委員会。選管。,政治
郡議,ぐんぎ,,郡（郡役所が存在した時代または日本以外の郡）の議会。また、その議員。,政治
郡議会,ぐんぎかい,,地方公共団体の郡（日本以外）における議決機関。,政治
郵便投票,ゆうびんとうひょう,,不在者投票の一種で選挙管理委員会に投票用紙を請求し返送することで行うもの。,選挙
都政,とせい; とせー,,東京都の政治、行政。,政治
都議会,とぎかい,,地方公共団体の都における議決機関。,政治
都道府県議会,とどうふけんぎかい,,地方議会のうち都道府県の住民から選出された議員で構成される議決機関。,政治
野党,やとう; やとー,opposition,民主的な選挙制度が担保される下、議会において行政府を支持しない政党等の政治集団。議会民主制においては、原則として下院の少数派であるが、その他大統領制などの下では議会における少数派とは限らない。,政治
金融庁,きんゆうちょう,,国内の金融に関する行政をほぼ一元的に担当するために、内閣府の外局として設置されている行政機関。2000年総理府の外局である金融監督庁と大蔵省金融企画局が統合されて発足、2001年内閣府の外局となる。,政治
開票,かいひょう; かいひょー,counting; of; votes,（投票箱などを開けて）投票された票を数えること,選挙
開票速報,かいひょうそくほう,,選挙の結果をいち早く伝えるための番組。,選挙
開院,かいいん,opening; Diet; session,国会を開くこと。,政治
間接選挙,かんせつせんきょ,,有権者が候補を直接選ばず、選挙人を選びその選挙人が候補を選ぶ選挙の制度。,選挙
防衛省,ぼうえいしょう,,国の中央官庁の一つ。2007年防衛庁を改組して設置。,政治
陸海,りくかい,land; and; sea; Army; Navy,陸と海。,地政学
陸海空,りくかいくう,,陸と海と空。,地政学
陸海空宙,りくかいくうちゅう,,陸と海と空と宇宙。,地政学
陸路,りくろ,,陸を通る交通路。副詞的にも用いる。,地政学
陸軍国,りくぐんこく,,強力な陸軍を持っている国。ランドパワー。,地政学
階級闘争,かいきゅうとうそう; かいきゅうとーそー,class struggle,生産手段の私有が社会の基礎となっている階級社会において、階級と階級とのあいだで発生する社会的格差を克服するために行われる闘争。,共産主義
零票確認,れいひょうかくにん,,選挙で投票の開始前に投票箱が空であることを確認すること。,選挙
非同盟,ひどうめい,,他国と同盟を結ばないこと。特に、軍事同盟を結ばないこと。,政治
非同盟中立,ひどうめいちゅうりつ,,他国との軍事同盟を結ばずに中立を保つこと。,政治
非武装中立,ひぶそうちゅうりつ,,軍隊や軍事同盟を持たない安全保障の方針。,政治
革新主義,かくしんしゅぎ,progressivism,伝統や慣習にとらわれず、新しい制度や社会改革を推進する考え方、イデオロギー。,政治
領有権,りょうゆうけん,,ある領域に対して主権を行使する権利。,政治
領水,りょうすい,,国家主権が及ぶ範囲の水域。,政治
首相,しゅしょう; しゅしょー,prime minister; premier,国家行政府（内閣）の長。日本では内閣総理大臣がこれに相当する。,元首
